168500-06-07 21:00:00.000	     -1952281.393198	      -184528.692153	       501137.230252	          -13.456045	          142.362607	            0.000000	
168500-06-07 21:00:30.000	     -1910128.495437	      -176329.339336	       490216.664019	         2844.921390	          403.098444	         -733.422464	
168500-06-07 21:01:00.000	     -1778867.344012	      -160288.327089	       456438.613074	         5981.615522	          669.755448	        -1537.818626	
168500-06-07 21:01:30.000	     -1544146.037573	      -135733.555053	       396134.448301	         9853.499714	          979.613472	        -2530.351052	
168500-06-07 21:02:00.000	     -1169387.299905	      -100214.012617	       299937.059834	        15698.527285	         1431.229834	        -4028.401860	
168500-06-07 21:02:30.000	      -527019.846296	       -44003.318922	       135150.712655	        32624.663213	         2762.682489	        -8367.199418	
168500-06-07 21:02:60.000	     37872275.906210	      3078718.881107	     -9710340.980487	      2521090.574117	       202164.942561	      -646342.701196	
168500-06-07 21:03:30.000	    113518114.752325	      8978196.350591	    -29100606.630296	      2521960.408252	       191133.277446	      -646342.002407	
168500-06-07 21:03:60.000	    189189552.645698	     14546692.552450	    -48490862.856577	      2522796.171722	       180099.087375	      -646341.852519	
168500-06-07 21:04:30.000	    264885525.628742	     19784124.377588	    -67881115.314667	      2523596.013399	       169062.203497	      -646341.776443	
168500-06-07 21:05:00.000	    340604953.461481	     24690396.317789	    -87271365.286873	      2524359.740672	       158022.597064	      -646341.724895	
168500-06-07 21:05:30.000	    416346749.358622	     29265460.140017	   -106661613.271828	      2525087.278470	       146980.606054	      -646341.684491	
168500-06-07 21:06:00.000	    492109829.917907	     33509206.970603	   -126051859.515897	      2525778.613740	       135936.098493	      -646341.650086	
168500-06-07 21:06:30.000	    567893105.677398	     37421608.778628	   -145442104.158978	      2526433.716969	       124889.414781	      -646341.619281	
168500-06-07 21:06:60.000	    643695491.072171	     41002578.911053	   -164832347.288088	      2527052.583382	       113840.542443	      -646341.590806	
168500-06-07 21:07:30.000	    719515900.926534	     44252019.739219	   -184222588.961047	      2527635.208519	       102789.469084	      -646341.563924	
168500-06-07 21:07:60.000	    795353243.746454	     47169934.063314	   -203612829.218561	      2528181.574390	        91736.536450	      -646341.538182	
168500-06-07 21:08:30.000	    871206433.735453	     49756234.007120	   -223003068.089836	      2528691.679359	        80681.731896	      -646341.513280	
168500-06-07 21:09:00.000	    947074385.423248	     52010820.489252	   -242393305.596839	      2529165.520392	        69625.042259	      -646341.489018	
168500-06-07 21:09:30.000	   1022956005.915806	     53933727.560038	   -261783541.756932	      2529603.084641	        58566.810979	      -646341.465254	
168500-06-07 21:10:00.000	   1098850211.898706	     55524814.406449	   -281173776.582601	      2530004.372790	        47506.906080	      -646341.441883	
168500-06-07 21:10:30.000	   1174755909.805755	     56784135.474002	   -300564010.085378	      2530369.374912	        36445.670669	      -646341.418832	
168500-06-07 21:10:60.000	   1250672013.591448	     57711601.222493	   -319954242.273655	      2530698.089156	        25383.092597	      -646341.396041	
168500-06-07 21:11:30.000	   1326597437.314259	     58307110.399655	   -339344473.153686	      2530990.511960	        14319.158279	      -646341.373464	
168500-06-07 21:11:60.000	   1402531086.691315	     58570748.593942	   -358734702.732757	      2531246.637536	         3254.211432	      -646341.351069	
168500-06-07 21:12:30.000	   1478471875.507638	     58502424.672468	   -378124931.015241	      2531466.463477	        -7811.761026	      -646341.328827	
168500-06-07 21:13:00.000	   1554418717.473881	     58102036.118660	   -397515158.004688	      2531649.985601	       -18878.772671	      -646341.306715	
168500-06-07 21:13:30.000	   1630370517.937456	     57369700.313725	   -416905383.705983	      2531797.202187	       -29946.478295	      -646341.284716	
168500-06-07 21:14:00.000	   1706326193.126381	     56305243.591310	   -436295608.121431	      2531908.108239	       -41015.011826	      -646341.262814	
168500-06-07 21:14:30.000	   1782284648.365388	     54908804.005978	   -455685831.253825	      2531982.704725	       -52084.028006	      -646341.240996	
168500-06-07 21:14:60.000	   1858244797.008058	     53180288.162313	   -475076053.106208	      2532020.988146	       -63153.540387	      -646341.219254	
168500-06-07 21:15:30.000	   1934205552.045950	     51119591.862988	   -494466273.679746	      2532022.953222	       -74223.562058	      -646341.197577	
168500-06-07 21:15:60.000	   2010165819.110161	     48726882.849790	   -513856492.976913	      2531988.604900	       -85293.749580	      -646341.175959	
168500-06-07 21:16:30.000	   2086124511.180806	     46002067.569853	   -533246710.999402	      2531917.939038	       -96364.115107	      -646341.154392	
168500-06-07 21:17:00.000	   2162080540.745294	     42945040.689742	   -552636927.748086	      2531810.949685	      -107434.671704	      -646341.132872	
168500-06-07 21:17:30.000	   2238032814.075902	     39556000.084348	   -572027143.224835	      2531667.645743	      -118505.076861	      -646341.111394	
168500-06-07 21:18:00.000	   2313980245.425715	     35834742.741064	   -591417357.430474	      2531488.016329	      -129575.461225	      -646341.089953	
168500-06-07 21:18:30.000	   2389921741.668917	     31781487.958690	   -610807570.366754	      2531272.073050	      -140645.481381	      -646341.068546	
168500-06-07 21:18:60.000	   2465856215.093245	     27396139.503902	   -630197782.033882	      2531019.810594	      -151715.150381	      -646341.047171	
168500-06-07 21:19:30.000	   2541782577.205137	     22678590.044678	   -649587992.433091	      2530731.221863	      -162784.481232	      -646341.025823	
168500-06-07 21:19:60.000	   2617699736.097254	     17629090.221918	   -668978201.565110	      2530406.322477	      -173853.130124	      -646341.004501	
168500-06-07 21:20:30.000	   2693606603.548236	     12247542.628424	   -688368409.430768	      2530045.106437	      -184921.110079	      -646340.983203	
168500-06-07 21:21:00.000	   2769502090.395919	      6533838.257629	   -707758616.030317	      2529647.565920	      -195988.434521	      -646340.961926	
